Alice Blue,"(239,247,255)","[0.3088,0.3212]","[0.3092,0.321]","[0.3088,0.3212]"
Antique White,"(249,234,214)","[0.3548,0.3489]","[0.3548,0.3489]","[0.3548,0.3489]"
Aqua,"(0,255,255)","[0.17,0.3403]","[0.2858,0.2747]","[0.1607,0.3423]"
Aquamarine,"(127,255,211)","[0.2138,0.4051]","[0.3237,0.3497]","[0.2138,0.4051]"
Azure,"(239,255,255)","[0.3059,0.3303]","[0.3123,0.3271]","[0.3059,0.3303]"
Beige,"(244,244,219)","[0.3402,0.356]","[0.3402,0.356]","[0.3402,0.356]"
Bisque,"(255,226,196)","[0.3806,0.3576]","[0.3806,0.3576]","[0.3806,0.3576]"
Black,"(0,0,0)","[0.139,0.081]","[0.168,0.041]","[0.153,0.048]"
Blanched Almond,"(255,234,204)","[0.3695,0.3584]","[0.3695,0.3584]","[0.3695,0.3584]"
Blue,"(0,0,255)","[0.139,0.081]","[0.168,0.041]","[0.153,0.048]"
Blue Violet,"(137,43,226)","[0.245,0.1214]","[0.251,0.1056]","[0.251,0.1056]"
Brown,"(165,40,40)","[0.6399,0.3041]","[0.6399,0.3041]","[0.6399,0.3041]"
Burlywood,"(221,183,135)","[0.4236,0.3811]","[0.4236,0.3811]","[0.4236,0.3811]"
Cadet Blue,"(94,158,160)","[0.2211,0.3328]","[0.2961,0.295]","[0.2211,0.3328]"
Chartreuse,"(127,255,0)","[0.2682,0.6632]","[0.408,0.517]","[0.2505,0.6395]"
Chocolate,"(209,104,30)","[0.6009,0.3684]","[0.6009,0.3684]","[0.6009,0.3684]"
Coral,"(255,127,79)","[0.5763,0.3486]","[0.5763,0.3486]","[0.5763,0.3486]"
Cornflower,"(99,147,237)","[0.1905,0.1945]","[0.2343,0.1725]","[0.1905,0.1945]"
Cornsilk,"(255,247,219)","[0.3511,0.3574]","[0.3511,0.3574]","[0.3511,0.3574]"
